"id","gender","age","attnpassed","state1","state2","response"
2,2,32,0,"Amusement","Disgust",33
2,2,32,0,"Awe","Disgust",43
2,2,32,0,"Satisfaction","Disgust",27
2,2,32,0,"Joy","Disgust",32
2,2,32,0,"Gratitude","Disgust",22
2,2,32,0,"Hope","Disgust",11
2,2,32,0,"Love","Disgust",17
2,2,32,0,"Pride","Disgust",72
2,2,32,0,"Anger","Guilt",61
2,2,32,0,"Sadness","Guilt",34
2,2,32,0,"Embarrassment","Guilt",72
2,2,32,0,"Fear","Guilt",84
2,2,32,0,"Disgust","Guilt",19
2,2,32,0,"Guilt","Guilt",20
2,2,32,0,"Offense","Guilt",62
2,2,32,0,"Contempt","Guilt",32
2,2,32,0,"Anxiety","Guilt",55
2,2,32,0,"Alertness","Guilt",59
2,2,32,0,"Amusement","Guilt",33
2,2,32,0,"Awe","Guilt",91
2,2,32,0,"Satisfaction","Guilt",91
2,2,32,0,"Joy","Guilt",62
2,2,32,0,"Gratitude","Guilt",62
2,2,32,0,"Hope","Guilt",29
2,2,32,0,"Love","Guilt",90
2,2,32,0,"Pride","Guilt",31
2,2,32,0,"Anger","Offense",27
2,2,32,0,"Sadness","Offense",29
2,2,32,0,"Embarrassment","Offense",65
2,2,32,0,"Fear","Offense",74
2,2,32,0,"Disgust","Offense",56
2,2,32,0,"Guilt","Offense",63
2,2,32,0,"Offense","Offense",87
2,2,32,0,"Contempt","Offense",86
2,2,32,0,"Anxiety","Offense",61
2,2,32,0,"Alertness","Offense",39
2,2,32,0,"Amusement","Offense",18
2,2,32,0,"Awe","Offense",60
2,2,32,0,"Satisfaction","Offense",42
2,2,32,0,"Joy","Offense",30
2,2,32,0,"Gratitude","Offense",90
2,2,32,0,"Hope","Offense",90
2,2,32,0,"Love","Offense",30
2,2,32,0,"Pride","Offense",29
2,2,32,0,"Anger","Contempt",61
2,2,32,0,"Sadness","Contempt",68
2,2,32,0,"Embarrassment","Contempt",42
2,2,32,0,"Fear","Contempt",70
2,2,32,0,"Disgust","Contempt",30
2,2,32,0,"Guilt","Contempt",74
2,2,32,0,"Offense","Contempt",60
2,2,32,0,"Contempt","Contempt",100
2,2,32,0,"Anxiety","Contempt",86
2,2,32,0,"Alertness","Contempt",61
2,2,32,0,"Amusement","Contempt",33
2,2,32,0,"Awe","Contempt",25
2,2,32,0,"Satisfaction","Contempt",78
2,2,32,0,"Joy","Contempt",63
2,2,32,0,"Gratitude","Contempt",56
2,2,32,0,"Hope","Contempt",27
2,2,32,0,"Love","Contempt",66
2,2,32,0,"Pride","Contempt",32
2,2,32,0,"Anger","Anxiety",74
2,2,32,0,"Sadness","Anxiety",72
2,2,32,0,"Embarrassment","Anxiety",61
2,2,32,0,"Fear","Anxiety",78
2,2,32,0,"Disgust","Anxiety",33
2,2,32,0,"Guilt","Anxiety",37
2,2,32,0,"Offense","Anxiety",63
2,2,32,0,"Contempt","Anxiety",57
2,2,32,0,"Anxiety","Anxiety",75
2,2,32,0,"Alertness","Anxiety",92
2,2,32,0,"Amusement","Anxiety",77
2,2,32,0,"Awe","Anxiety",24
2,2,32,0,"Satisfaction","Anxiety",85
2,2,32,0,"Joy","Anxiety",36
2,2,32,0,"Gratitude","Anxiety",29
2,2,32,0,"Hope","Anxiety",65
2,2,32,0,"Love","Anxiety",26
2,2,32,0,"Pride","Anxiety",23
2,2,32,0,"Anger","Alertness",50
2,2,32,0,"Sadness","Alertness",45
2,2,32,0,"Embarrassment","Alertness",88
2,2,32,0,"Fear","Alertness",63
2,2,32,0,"Disgust","Alertness",89
2,2,32,0,"Guilt","Alertness",89
2,2,32,0,"Offense","Alertness",26
2,2,32,0,"Contempt","Alertness",27
2,2,32,0,"Anxiety","Alertness",61
2,2,32,0,"Alertness","Alertness",66
2,2,32,0,"Amusement","Alertness",73
2,2,32,0,"Awe","Alertness",23
2,2,32,0,"Satisfaction","Alertness",78
2,2,32,0,"Joy","Alertness",84
2,2,32,0,"Gratitude","Alertness",92
2,2,32,0,"Hope","Alertness",77
2,2,32,0,"Love","Alertness",63
2,2,32,0,"Pride","Alertness",74
2,2,32,0,"Anger","Amusement",89
2,2,32,0,"Sadness","Amusement",30
2,2,32,0,"Embarrassment","Amusement",92
2,2,32,0,"Fear","Amusement",89
2,2,32,0,"Disgust","Amusement",18
2,2,32,0,"Guilt","Amusement",87
2,2,32,0,"Offense","Amusement",91
2,2,32,0,"Contempt","Amusement",73
2,2,32,0,"Anxiety","Amusement",90
2,2,32,0,"Alertness","Amusement",61
2,2,32,0,"Amusement","Amusement",32
2,2,32,0,"Awe","Amusement",85
2,2,32,0,"Satisfaction","Amusement",74
2,2,32,0,"Joy","Amusement",13
2,2,32,0,"Gratitude","Amusement",71
2,2,32,0,"Hope","Amusement",64
2,2,32,0,"Love","Amusement",52
2,2,32,0,"Pride","Amusement",31
2,2,32,0,"Anger","Awe",30
2,2,32,0,"Sadness","Awe",30
2,2,32,0,"Embarrassment","Awe",29
2,2,32,0,"Fear","Awe",61
2,2,32,0,"Disgust","Awe",36
2,2,32,0,"Guilt","Awe",29
2,2,32,0,"Offense","Awe",56
2,2,32,0,"Contempt","Awe",33
2,2,32,0,"Anxiety","Awe",88
2,2,32,0,"Alertness","Awe",63
2,2,32,0,"Amusement","Awe",62
2,2,32,0,"Awe","Awe",62
2,2,32,0,"Satisfaction","Awe",37
2,2,32,0,"Joy","Awe",91
2,2,32,0,"Gratitude","Awe",78
2,2,32,0,"Hope","Awe",87
2,2,32,0,"Love","Awe",97
2,2,32,0,"Pride","Awe",91
2,2,32,0,"Anger","Satisfaction",60
2,2,32,0,"Sadness","Satisfaction",90
2,2,32,0,"Embarrassment","Satisfaction",24
2,2,32,0,"Fear","Satisfaction",30
2,2,32,0,"Disgust","Satisfaction",26
2,2,32,0,"Guilt","Satisfaction",32
2,2,32,0,"Offense","Satisfaction",76
2,2,32,0,"Contempt","Satisfaction",94
2,2,32,0,"Anxiety","Satisfaction",18
2,2,32,0,"Alertness","Satisfaction",69
2,2,32,0,"Amusement","Satisfaction",31
2,2,32,0,"Awe","Satisfaction",80
2,2,32,0,"Satisfaction","Satisfaction",100
2,2,32,0,"Joy","Satisfaction",91
2,2,32,0,"Gratitude","Satisfaction",89
2,2,32,0,"Hope","Satisfaction",25
2,2,32,0,"Love","Satisfaction",90
2,2,32,0,"Pride","Satisfaction",71
2,2,32,0,"Anger","Joy",32
2,2,32,0,"Sadness","Joy",63
2,2,32,0,"Embarrassment","Joy",74
2,2,32,0,"Fear","Joy",24
2,2,32,0,"Disgust","Joy",35
2,2,32,0,"Guilt","Joy",19
2,2,32,0,"Offense","Joy",75
2,2,32,0,"Contempt","Joy",35
2,2,32,0,"Anxiety","Joy",83
2,2,32,0,"Alertness","Joy",75
2,2,32,0,"Amusement","Joy",57
2,2,32,0,"Awe","Joy",61
2,2,32,0,"Satisfaction","Joy",24
2,2,32,0,"Joy","Joy",100
2,2,32,0,"Gratitude","Joy",88
2,2,32,0,"Hope","Joy",32
2,2,32,0,"Love","Joy",88
2,2,32,0,"Pride","Joy",85
2,2,32,0,"Anger","Gratitude",29
2,2,32,0,"Sadness","Gratitude",73
2,2,32,0,"Embarrassment","Gratitude",23
2,2,32,0,"Fear","Gratitude",83
2,2,32,0,"Disgust","Gratitude",33
2,2,32,0,"Guilt","Gratitude",30
2,2,32,0,"Offense","Gratitude",27
2,2,32,0,"Contempt","Gratitude",62
2,2,32,0,"Anxiety","Gratitude",34
2,2,32,0,"Alertness","Gratitude",84
2,2,32,0,"Amusement","Gratitude",25
2,2,32,0,"Awe","Gratitude",93
2,2,32,0,"Satisfaction","Gratitude",14
2,2,32,0,"Joy","Gratitude",33
2,2,32,0,"Gratitude","Gratitude",100
2,2,32,0,"Hope","Gratitude",16
2,2,32,0,"Love","Gratitude",12
2,2,32,0,"Pride","Gratitude",64
2,2,32,0,"Anger","Hope",33
2,2,32,0,"Sadness","Hope",41
2,2,32,0,"Embarrassment","Hope",32
2,2,32,0,"Fear","Hope",15
2,2,32,0,"Disgust","Hope",30
2,2,32,0,"Guilt","Hope",36
2,2,32,0,"Offense","Hope",31
2,2,32,0,"Contempt","Hope",63
2,2,32,0,"Anxiety","Hope",21
2,2,32,0,"Alertness","Hope",26
2,2,32,0,"Amusement","Hope",76
2,2,32,0,"Awe","Hope",62
2,2,32,0,"Satisfaction","Hope",86
2,2,32,0,"Joy","Hope",82
2,2,32,0,"Gratitude","Hope",30
2,2,32,0,"Hope","Hope",100
2,2,32,0,"Love","Hope",98
2,2,32,0,"Pride","Hope",92
2,2,32,0,"Anger","Love",37
2,2,32,0,"Sadness","Love",66
2,2,32,0,"Embarrassment","Love",91
2,2,32,0,"Fear","Love",61
2,2,32,0,"Disgust","Love",34
2,2,32,0,"Guilt","Love",33
2,2,32,0,"Offense","Love",33
2,2,32,0,"Contempt","Love",36
2,2,32,0,"Anxiety","Love",39
2,2,32,0,"Alertness","Love",36
2,2,32,0,"Amusement","Love",93
2,2,32,0,"Awe","Love",65
2,2,32,0,"Satisfaction","Love",79
2,2,32,0,"Joy","Love",74
2,2,32,0,"Gratitude","Love",17
2,2,32,0,"Hope","Love",97
2,2,32,0,"Love","Love",40
2,2,32,0,"Pride","Love",80
2,2,32,0,"Anger","Pride",62
2,2,32,0,"Sadness","Pride",36
2,2,32,0,"Embarrassment","Pride",50
2,2,32,0,"Fear","Pride",63
2,2,32,0,"Disgust","Pride",20
2,2,32,0,"Guilt","Pride",91
2,2,32,0,"Offense","Pride",32
2,2,32,0,"Contempt","Pride",26
2,2,32,0,"Anxiety","Pride",19
2,2,32,0,"Alertness","Pride",35
2,2,32,0,"Amusement","Pride",31
2,2,32,0,"Awe","Pride",63
2,2,32,0,"Satisfaction","Pride",70
2,2,32,0,"Joy","Pride",24
2,2,32,0,"Gratitude","Pride",65
2,2,32,0,"Hope","Pride",22
2,2,32,0,"Love","Pride",91
2,2,32,0,"Pride","Pride",23
3,2,49,1,"Anger","Anger",95
3,2,49,1,"Sadness","Anger",26
