"id","gender","age","attnpassed","state","response"
25,1,25,0,"Sadness",22
25,1,25,0,"Embarrassment",36
25,1,25,0,"Fear",33
25,1,25,0,"Disgust",50
25,1,25,0,"Guilt",30
25,1,25,0,"Offense",1
25,1,25,0,"Contempt",28
25,1,25,0,"Anxiety",35
25,1,25,0,"Alertness",83
25,1,25,0,"Amusement",67
25,1,25,0,"Awe",10
25,1,25,0,"Satisfaction",68
25,1,25,0,"Joy",56
25,1,25,0,"Gratitude",41
25,1,25,0,"Hope",56
25,1,25,0,"Love",85
25,1,25,0,"Pride",42
26,2,42,1,"Anger",32
26,2,42,1,"Sadness",33
26,2,42,1,"Embarrassment",16
26,2,42,1,"Fear",50
26,2,42,1,"Disgust",32
26,2,42,1,"Guilt",15
26,2,42,1,"Offense",33
26,2,42,1,"Contempt",15
26,2,42,1,"Anxiety",69
26,2,42,1,"Alertness",84
26,2,42,1,"Amusement",67
26,2,42,1,"Awe",66
26,2,42,1,"Satisfaction",50
26,2,42,1,"Joy",68
26,2,42,1,"Gratitude",67
26,2,42,1,"Hope",67
26,2,42,1,"Love",100
26,2,42,1,"Pride",85
27,1,35,0,"Anger",63
27,1,35,0,"Sadness",65
27,1,35,0,"Embarrassment",64
27,1,35,0,"Fear",76
27,1,35,0,"Disgust",57
27,1,35,0,"Guilt",72
27,1,35,0,"Offense",69
27,1,35,0,"Contempt",19
27,1,35,0,"Anxiety",81
27,1,35,0,"Alertness",93
27,1,35,0,"Amusement",86
27,1,35,0,"Awe",92
27,1,35,0,"Satisfaction",89
27,1,35,0,"Joy",84
27,1,35,0,"Gratitude",89
27,1,35,0,"Hope",80
27,1,35,0,"Love",98
27,1,35,0,"Pride",39
28,2,31,1,"Anger",67
28,2,31,1,"Sadness",69
28,2,31,1,"Embarrassment",48
28,2,31,1,"Fear",32
28,2,31,1,"Disgust",67
28,2,31,1,"Guilt",50
28,2,31,1,"Offense",68
28,2,31,1,"Contempt",50
28,2,31,1,"Anxiety",68
28,2,31,1,"Alertness",84
28,2,31,1,"Amusement",83
28,2,31,1,"Awe",50
28,2,31,1,"Satisfaction",69
28,2,31,1,"Joy",84
28,2,31,1,"Gratitude",66
28,2,31,1,"Hope",64
28,2,31,1,"Love",85
28,2,31,1,"Pride",50
29,2,29,0,"Anger",38
29,2,29,0,"Sadness",48
29,2,29,0,"Embarrassment",32
29,2,29,0,"Fear",24
29,2,29,0,"Disgust",48
29,2,29,0,"Guilt",34
29,2,29,0,"Offense",31
29,2,29,0,"Contempt",30
29,2,29,0,"Anxiety",33
29,2,29,0,"Alertness",70
29,2,29,0,"Amusement",81
29,2,29,0,"Awe",40
29,2,29,0,"Satisfaction",90
29,2,29,0,"Joy",69
29,2,29,0,"Gratitude",72
29,2,29,0,"Hope",61
29,2,29,0,"Love",82
29,2,29,0,"Pride",50
30,2,28,1,"Anger",11
30,2,28,1,"Sadness",34
30,2,28,1,"Embarrassment",27
30,2,28,1,"Fear",49
30,2,28,1,"Disgust",49
30,2,28,1,"Guilt",0
30,2,28,1,"Offense",31
30,2,28,1,"Contempt",85
30,2,28,1,"Anxiety",32
30,2,28,1,"Alertness",100
30,2,28,1,"Amusement",86
30,2,28,1,"Awe",100
30,2,28,1,"Satisfaction",85
30,2,28,1,"Joy",82
30,2,28,1,"Gratitude",88
30,2,28,1,"Hope",100
30,2,28,1,"Love",100
30,2,28,1,"Pride",16
31,2,32,1,"Anger",15
31,2,32,1,"Sadness",67
31,2,32,1,"Embarrassment",69
31,2,32,1,"Fear",67
31,2,32,1,"Disgust",33
31,2,32,1,"Guilt",66
31,2,32,1,"Offense",50
31,2,32,1,"Contempt",34
31,2,32,1,"Anxiety",52
31,2,32,1,"Alertness",87
31,2,32,1,"Amusement",100
31,2,32,1,"Awe",65
31,2,32,1,"Satisfaction",100
31,2,32,1,"Joy",100
31,2,32,1,"Gratitude",100
31,2,32,1,"Hope",50
31,2,32,1,"Love",100
31,2,32,1,"Pride",31
32,2,53,1,"Anger",25
32,2,53,1,"Sadness",79
32,2,53,1,"Embarrassment",49
32,2,53,1,"Fear",68
32,2,53,1,"Disgust",35
32,2,53,1,"Guilt",68
32,2,53,1,"Offense",10
32,2,53,1,"Contempt",50
32,2,53,1,"Anxiety",70
32,2,53,1,"Alertness",84
32,2,53,1,"Amusement",49
32,2,53,1,"Awe",85
32,2,53,1,"Satisfaction",85
32,2,53,1,"Joy",84
32,2,53,1,"Gratitude",84
32,2,53,1,"Hope",84
32,2,53,1,"Love",84
32,2,53,1,"Pride",33
33,1,36,1,"Anger",26
33,1,36,1,"Sadness",25
33,1,36,1,"Embarrassment",12
33,1,36,1,"Fear",11
33,1,36,1,"Disgust",11
33,1,36,1,"Guilt",18
33,1,36,1,"Offense",47
33,1,36,1,"Contempt",13
33,1,36,1,"Anxiety",30
33,1,36,1,"Alertness",79
33,1,36,1,"Amusement",86
33,1,36,1,"Awe",30
33,1,36,1,"Satisfaction",84
33,1,36,1,"Joy",85
33,1,36,1,"Gratitude",80
33,1,36,1,"Hope",62
33,1,36,1,"Love",100
33,1,36,1,"Pride",91
34,2,29,0,"Anger",16
34,2,29,0,"Sadness",15
34,2,29,0,"Embarrassment",15
34,2,29,0,"Fear",33
34,2,29,0,"Disgust",15
34,2,29,0,"Guilt",15
34,2,29,0,"Offense",0
34,2,29,0,"Contempt",100
34,2,29,0,"Anxiety",49
34,2,29,0,"Alertness",100
34,2,29,0,"Amusement",85
34,2,29,0,"Awe",68
34,2,29,0,"Satisfaction",100
34,2,29,0,"Joy",84
34,2,29,0,"Gratitude",85
34,2,29,0,"Hope",68
34,2,29,0,"Love",100
34,2,29,0,"Pride",67
35,1,28,0,"Anger",85
35,1,28,0,"Sadness",68
35,1,28,0,"Embarrassment",67
35,1,28,0,"Fear",50
35,1,28,0,"Disgust",50
35,1,28,0,"Guilt",70
35,1,28,0,"Offense",69
35,1,28,0,"Contempt",69
35,1,28,0,"Anxiety",72
35,1,28,0,"Alertness",82
35,1,28,0,"Amusement",69
35,1,28,0,"Awe",50
35,1,28,0,"Satisfaction",50
35,1,28,0,"Joy",71
35,1,28,0,"Gratitude",50
35,1,28,0,"Hope",50
35,1,28,0,"Love",86
35,1,28,0,"Pride",49
36,1,40,1,"Anger",50
36,1,40,1,"Sadness",50
36,1,40,1,"Embarrassment",50
36,1,40,1,"Fear",33
36,1,40,1,"Disgust",32
36,1,40,1,"Guilt",50
36,1,40,1,"Offense",50
36,1,40,1,"Contempt",50
36,1,40,1,"Anxiety",35
36,1,40,1,"Alertness",68
36,1,40,1,"Amusement",85
36,1,40,1,"Awe",32
36,1,40,1,"Satisfaction",67
36,1,40,1,"Joy",50
36,1,40,1,"Gratitude",67
36,1,40,1,"Hope",50
36,1,40,1,"Love",84
36,1,40,1,"Pride",33
37,2,65,0,"Anger",16
37,2,65,0,"Sadness",15
37,2,65,0,"Embarrassment",16
37,2,65,0,"Fear",16
37,2,65,0,"Disgust",13
37,2,65,0,"Guilt",16
37,2,65,0,"Offense",14
37,2,65,0,"Contempt",0
37,2,65,0,"Anxiety",15
37,2,65,0,"Alertness",83
37,2,65,0,"Amusement",100
37,2,65,0,"Awe",67
37,2,65,0,"Satisfaction",84
37,2,65,0,"Joy",84
37,2,65,0,"Gratitude",100
37,2,65,0,"Hope",100
37,2,65,0,"Love",100
37,2,65,0,"Pride",15
38,2,61,0,"Anger",46
38,2,61,0,"Sadness",32
38,2,61,0,"Embarrassment",32
38,2,61,0,"Fear",17
38,2,61,0,"Disgust",50
38,2,61,0,"Guilt",16
38,2,61,0,"Offense",31
38,2,61,0,"Contempt",50
38,2,61,0,"Anxiety",31
38,2,61,0,"Alertness",98
38,2,61,0,"Amusement",68
38,2,61,0,"Awe",50
38,2,61,0,"Satisfaction",66
38,2,61,0,"Joy",83
38,2,61,0,"Gratitude",66
38,2,61,0,"Hope",83
38,2,61,0,"Love",31
38,2,61,0,"Pride",49
39,1,36,0,"Anger",32
39,1,36,0,"Sadness",16
39,1,36,0,"Embarrassment",17
39,1,36,0,"Fear",16
39,1,36,0,"Disgust",34
39,1,36,0,"Guilt",0
39,1,36,0,"Offense",33
39,1,36,0,"Contempt",0
39,1,36,0,"Anxiety",0
39,1,36,0,"Alertness",100
39,1,36,0,"Amusement",85
39,1,36,0,"Awe",34
39,1,36,0,"Satisfaction",85
39,1,36,0,"Joy",100
39,1,36,0,"Gratitude",100
39,1,36,0,"Hope",100
39,1,36,0,"Love",100
39,1,36,0,"Pride",100
40,1,48,0,"Anger",67
40,1,48,0,"Sadness",42
40,1,48,0,"Embarrassment",42
40,1,48,0,"Fear",37
40,1,48,0,"Disgust",56
40,1,48,0,"Guilt",44
40,1,48,0,"Offense",52
40,1,48,0,"Contempt",47
40,1,48,0,"Anxiety",36
40,1,48,0,"Alertness",90
40,1,48,0,"Amusement",62
40,1,48,0,"Awe",67
40,1,48,0,"Satisfaction",66
40,1,48,0,"Joy",69
40,1,48,0,"Gratitude",65
40,1,48,0,"Hope",65
40,1,48,0,"Love",65
40,1,48,0,"Pride",55
41,1,36,1,"Anger",35
41,1,36,1,"Sadness",7
41,1,36,1,"Embarrassment",3
41,1,36,1,"Fear",2
41,1,36,1,"Disgust",5
41,1,36,1,"Guilt",2
41,1,36,1,"Offense",6
41,1,36,1,"Contempt",15
41,1,36,1,"Anxiety",4
41,1,36,1,"Alertness",100
41,1,36,1,"Amusement",83
41,1,36,1,"Awe",25
41,1,36,1,"Satisfaction",93
41,1,36,1,"Joy",90
41,1,36,1,"Gratitude",92
41,1,36,1,"Hope",97
41,1,36,1,"Love",75
41,1,36,1,"Pride",95
42,2,35,1,"Anger",32
42,2,35,1,"Sadness",50
42,2,35,1,"Embarrassment",50
42,2,35,1,"Fear",50
42,2,35,1,"Disgust",34
42,2,35,1,"Guilt",67
42,2,35,1,"Offense",34
42,2,35,1,"Contempt",50
42,2,35,1,"Anxiety",85
42,2,35,1,"Alertness",33
42,2,35,1,"Amusement",85
42,2,35,1,"Awe",50
42,2,35,1,"Satisfaction",66
42,2,35,1,"Joy",34
42,2,35,1,"Gratitude",100
42,2,35,1,"Hope",50
42,2,35,1,"Love",85
42,2,35,1,"Pride",50
43,2,23,0,"Anger",67
43,2,23,0,"Sadness",64
43,2,23,0,"Embarrassment",61
43,2,23,0,"Fear",58
43,2,23,0,"Disgust",67
43,2,23,0,"Guilt",67
43,2,23,0,"Offense",68
43,2,23,0,"Contempt",50
43,2,23,0,"Anxiety",83
43,2,23,0,"Alertness",78
43,2,23,0,"Amusement",87
43,2,23,0,"Awe",50
43,2,23,0,"Satisfaction",64
43,2,23,0,"Joy",78
43,2,23,0,"Gratitude",66
43,2,23,0,"Hope",50
43,2,23,0,"Love",86
43,2,23,0,"Pride",49
44,1,22,0,"Anger",45
44,1,22,0,"Sadness",21
44,1,22,0,"Embarrassment",17
44,1,22,0,"Fear",0
44,1,22,0,"Disgust",2
44,1,22,0,"Guilt",26
44,1,22,0,"Offense",18
44,1,22,0,"Contempt",13
44,1,22,0,"Anxiety",50
44,1,22,0,"Alertness",78
44,1,22,0,"Amusement",50
44,1,22,0,"Awe",50
44,1,22,0,"Satisfaction",81
44,1,22,0,"Joy",73
44,1,22,0,"Gratitude",50
44,1,22,0,"Hope",61
44,1,22,0,"Love",64
44,1,22,0,"Pride",50
45,2,43,0,"Anger",32
45,2,43,0,"Sadness",33
45,2,43,0,"Embarrassment",1
45,2,43,0,"Fear",8
45,2,43,0,"Disgust",2
45,2,43,0,"Guilt",7
45,2,43,0,"Offense",4
45,2,43,0,"Contempt",1
45,2,43,0,"Anxiety",24
45,2,43,0,"Alertness",85
45,2,43,0,"Amusement",79
45,2,43,0,"Awe",31
45,2,43,0,"Satisfaction",67
45,2,43,0,"Joy",67
45,2,43,0,"Gratitude",49
45,2,43,0,"Hope",50
45,2,43,0,"Love",84
45,2,43,0,"Pride",32
46,1,30,1,"Anger",62
46,1,30,1,"Sadness",43
46,1,30,1,"Embarrassment",44
46,1,30,1,"Fear",53
46,1,30,1,"Disgust",34
46,1,30,1,"Guilt",30
46,1,30,1,"Offense",31
46,1,30,1,"Contempt",28
46,1,30,1,"Anxiety",49
46,1,30,1,"Alertness",76
46,1,30,1,"Amusement",78
46,1,30,1,"Awe",66
46,1,30,1,"Satisfaction",81
46,1,30,1,"Joy",86
46,1,30,1,"Gratitude",85
46,1,30,1,"Hope",77
46,1,30,1,"Love",97
46,1,30,1,"Pride",58
47,1,25,1,"Anger",54
47,1,25,1,"Sadness",29
47,1,25,1,"Embarrassment",17
47,1,25,1,"Fear",28
47,1,25,1,"Disgust",24
47,1,25,1,"Guilt",23
47,1,25,1,"Offense",32
47,1,25,1,"Contempt",43
47,1,25,1,"Anxiety",44
47,1,25,1,"Alertness",87
47,1,25,1,"Amusement",66
47,1,25,1,"Awe",50
47,1,25,1,"Satisfaction",57
47,1,25,1,"Joy",66
47,1,25,1,"Gratitude",78
47,1,25,1,"Hope",79
47,1,25,1,"Love",55
47,1,25,1,"Pride",66
48,2,28,1,"Anger",39
48,2,28,1,"Sadness",49
48,2,28,1,"Embarrassment",8
48,2,28,1,"Fear",58
48,2,28,1,"Disgust",32
48,2,28,1,"Guilt",12
48,2,28,1,"Offense",13
48,2,28,1,"Contempt",9
48,2,28,1,"Anxiety",60
48,2,28,1,"Alertness",81
48,2,28,1,"Amusement",32
48,2,28,1,"Awe",24
48,2,28,1,"Satisfaction",33
48,2,28,1,"Joy",43
48,2,28,1,"Gratitude",63
48,2,28,1,"Hope",47
48,2,28,1,"Love",85
48,2,28,1,"Pride",12
49,2,30,0,"Anger",48
49,2,30,0,"Sadness",46
49,2,30,0,"Embarrassment",31
49,2,30,0,"Fear",33
49,2,30,0,"Disgust",47
49,2,30,0,"Guilt",47
49,2,30,0,"Offense",47
49,2,30,0,"Contempt",41
49,2,30,0,"Anxiety",55
49,2,30,0,"Alertness",74
49,2,30,0,"Amusement",55
49,2,30,0,"Awe",48
49,2,30,0,"Satisfaction",79
49,2,30,0,"Joy",66
49,2,30,0,"Gratitude",62
